alpha,n_clients,partition_seed,class,fedavg_sgd,fednova_sgd,partition_id,hhi,n_holders,holder_fraction,rescued
0.1,10,101,DoS,0.0,0.0,0.1_10_101,0.6633222605343255,3,0.3,False
0.1,10,101,Injection,0.0,1.0,0.1_10_101,1.0,1,0.1,False
0.1,10,101,Ip Spoofing,0.0,1.0,0.1_10_101,1.0,1,0.1,False
0.1,10,101,MITM,0.0,0.0,0.1_10_101,0.5025629212348803,2,0.2,False
0.1,10,101,Manipulation,0.0,0.0,0.1_10_101,0.37591073171235834,3,0.3,False
0.1,10,101,Regular,0.0,0.0,0.1_10_101,0.47519095533257033,4,0.4,False
0.1,10,101,Replay,0.0,1.0,0.1_10_101,0.6354022900321895,2,0.2,False
0.1,10,101,Unauth,1.0,0.0,0.1_10_101,1.0,1,0.1,True
0.1,10,101,Video,0.0,0.0,0.1_10_101,0.7126810326740602,2,0.2,False
0.1,10,102,DoS,0.0,0.0,0.1_10_102,0.4294497776913206,3,0.3,False
0.1,10,102,Injection,0.0,0.0,0.1_10_102,0.340350556887863,3,0.3,False
0.1,10,102,Ip Spoofing,0.0,1.0,0.1_10_102,0.8723585023199358,2,0.2,False
0.1,10,102,MITM,0.0,0.0,0.1_10_102,0.40737883573807915,3,0.3,False
0.1,10,102,Manipulation,1.0,1.0,0.1_10_102,1.0,1,0.1,False
0.1,10,102,Regular,0.0,0.0,0.1_10_102,0.4447913336698713,5,0.5,False
0.1,10,102,Replay,0.0,0.0,0.1_10_102,0.3783965807405648,3,0.3,False
0.1,10,102,Unauth,0.0,0.0,0.1_10_102,0.43858268682884066,3,0.3,False
0.1,10,102,Video,0.0,0.0,0.1_10_102,0.7387868447790882,2,0.2,False
0.1,10,103,DoS,0.0,0.0,0.1_10_103,0.36266825571628114,3,0.3,False
0.1,10,103,Injection,0.0,0.0,0.1_10_103,0.3824087036877687,3,0.3,False
0.1,10,103,Ip Spoofing,0.0,0.0,0.1_10_103,0.3650105284285338,3,0.3,False
0.1,10,103,MITM,0.0,0.0,0.1_10_103,0.3140771356496166,4,0.4,False
0.1,10,103,Manipulation,1.0,1.0,0.1_10_103,1.0,1,0.1,False
0.1,10,103,Regular,0.0,0.0,0.1_10_103,0.28662724750949353,4,0.4,False
0.1,10,103,Replay,0.0,0.0,0.1_10_103,0.38387257662131613,3,0.3,False
