anchor,algorithm,model_seed,val_macro_f1,n_seeds_in_cell,cell_mean_macro_f1,cell_sd_macro_f1,cell_95pct_tCI_halfwidth
heavy_a0.1_nc30,fedavg_sgd,11,0.4631366356527698,5,0.4544371243263046,0.011937479168641258,0.01482233811300928
heavy_a0.1_nc30,fedavg_sgd,22,0.4651948178857544,5,0.4544371243263046,0.011937479168641258,0.01482233811300928
heavy_a0.1_nc30,fedavg_sgd,33,0.4517889071620397,5,0.4544371243263046,0.011937479168641258,0.01482233811300928
heavy_a0.1_nc30,fedavg_sgd,44,0.4567638950532682,5,0.4544371243263046,0.011937479168641258,0.01482233811300928
heavy_a0.1_nc30,fedavg_sgd,55,0.4353013658776909,5,0.4544371243263046,0.011937479168641258,0.01482233811300928
heavy_a0.1_nc30,fednova_sgd,11,0.419544368297272,5,0.40469946707897114,0.013662645155954195,0.01696441461038141
heavy_a0.1_nc30,fednova_sgd,22,0.4111323641449626,5,0.40469946707897114,0.013662645155954195,0.01696441461038141
heavy_a0.1_nc30,fednova_sgd,33,0.39176616059226,5,0.40469946707897114,0.013662645155954195,0.01696441461038141
heavy_a0.1_nc30,fednova_sgd,44,0.4124190785924641,5,0.40469946707897114,0.013662645155954195,0.01696441461038141
heavy_a0.1_nc30,fednova_sgd,55,0.3886353637678969,5,0.40469946707897114,0.013662645155954195,0.01696441461038141
moderate_a0.3_nc15,fedavg_sgd,11,0.4520960937822418,5,0.4490767788492079,0.023051322852610027,0.02862199769705762
moderate_a0.3_nc15,fedavg_sgd,22,0.4441178328954055,5,0.4490767788492079,0.023051322852610027,0.02862199769705762
moderate_a0.3_nc15,fedavg_sgd,33,0.4870547504311698,5,0.4490767788492079,0.023051322852610027,0.02862199769705762
moderate_a0.3_nc15,fedavg_sgd,44,0.4309175858903138,5,0.4490767788492079,0.023051322852610027,0.02862199769705762
moderate_a0.3_nc15,fedavg_sgd,55,0.4311976312469083,5,0.4490767788492079,0.023051322852610027,0.02862199769705762
moderate_a0.3_nc15,fednova_sgd,11,0.445364394774577,5,0.4486699677569487,0.03345216490248407,0.04153634882139008
moderate_a0.3_nc15,fednova_sgd,22,0.4316189465225744,5,0.4486699677569487,0.03345216490248407,0.04153634882139008
moderate_a0.3_nc15,fednova_sgd,33,0.4155658937572573,5,0.4486699677569487,0.03345216490248407,0.04153634882139008
moderate_a0.3_nc15,fednova_sgd,44,0.5041198419931363,5,0.4486699677569487,0.03345216490248407,0.04153634882139008
moderate_a0.3_nc15,fednova_sgd,55,0.4466807617371984,5,0.4486699677569487,0.03345216490248407,0.04153634882139008
light_a1.0_nc10,fedavg_sgd,11,0.5219324143205135,4,0.5622168560902883,0.03681114396242159,0.05857474454824785
light_a1.0_nc10,fedavg_sgd,22,0.6047468058400997,4,0.5622168560902883,0.03681114396242159,0.05857474454824785
light_a1.0_nc10,fedavg_sgd,44,0.5788568008253837,4,0.5622168560902883,0.03681114396242159,0.05857474454824785
light_a1.0_nc10,fedavg_sgd,55,0.543331403375156,4,0.5622168560902883,0.03681114396242159,0.05857474454824785
light_a1.0_nc10,fednova_sgd,11,0.4441505886086558,5,0.5106402741948946,0.041658850864216605,0.05172629532463762
light_a1.0_nc10,fednova_sgd,22,0.5561793428224435,5,0.5106402741948946,0.041658850864216605,0.05172629532463762
light_a1.0_nc10,fednova_sgd,33,0.5229040114995177,5,0.5106402741948946,0.041658850864216605,0.05172629532463762
light_a1.0_nc10,fednova_sgd,44,0.5036033764006677,5,0.5106402741948946,0.041658850864216605,0.05172629532463762
light_a1.0_nc10,fednova_sgd,55,0.526364051643188,5,0.5106402741948946,0.041658850864216605,0.05172629532463762
