# per-seed paired values (evaluable classes only -- classes with 0 validation support excluded)
anchor,model_seed,fedavg_strict_erosion_rate,fednova_strict_erosion_rate,fedavg_practical_erosion_rate,fednova_practical_erosion_rate,fedavg_mean_recall_loss,fednova_mean_recall_loss
heavy_a0.1_nc30,11,0.0,0.2222222222222222,0.0,0.2222222222222222,0.3251535277933299,0.4951681739681402
heavy_a0.1_nc30,22,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.3194396731730448,0.4957009107132672
heavy_a0.1_nc30,33,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.4345908042295268,0.49771177699583075
heavy_a0.1_nc30,44,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.3703801624420097,0.48667613788806185
heavy_a0.1_nc30,55,0.1111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.38739026997540893,0.4939850370434291
moderate_a0.3_nc15,11,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.46969012611904737,0.4757770672938292
moderate_a0.3_nc15,22,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4668427603597068,0.47891291388850493
moderate_a0.3_nc15,33,0.1111111111111111,0.2222222222222222,0.1111111111111111,0.2222222222222222,0.4556675417565324,0.49036342054956084
moderate_a0.3_nc15,44,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.4766594784859539,0.44336566711031317
moderate_a0.3_nc15,55,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.46941162491011745,0.4680048484430934
light_a1.0_nc10,11,0.0,0.1111111111111111,0.0,0.1111111111111111,0.41891413481233675,0.47360796971200414
light_a1.0_nc10,22,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3573807935146295,0.40441686175325753
light_a1.0_nc10,44,0.0,0.1111111111111111,0.0,0.1111111111111111,0.3772026163018987,0.39364528482980066
light_a1.0_nc10,55,0.0,0.0,0.0,0.0,0.4159097038466098,0.4256334211602306

# per-seed diff averaged across the anchors that seed appears in (display only -- n_anchors_averaged differs for seed 33, see note on ALL_ANCHORS_SEED_AGGREGATED below for the correct like-for-like unified test)
model_seed,n_anchors_averaged,mean_diff
11,3,-0.14814814814814814
22,3,-0.07407407407407407
33,2,-0.16666666666666666
44,3,-0.1111111111111111
55,3,-0.07407407407407407

# summary (seed-level paired test, seed = statistical unit)
anchor,n_paired_seeds,mean_diff_strict_erosion_rate_fedavg_minus_fednova,paired_t_stat,paired_t_pvalue,wilcoxon_stat,wilcoxon_pvalue,note
heavy_a0.1_nc30,5,-0.17777777777777776,-4.0,0.01613008990009254,0.0,0.125,
moderate_a0.3_nc15,5,-0.06666666666666667,-2.449489742783178,0.07048399691021993,0.0,0.25,
light_a1.0_nc10,4,-0.08333333333333333,-3.0,0.0576688856224373,0.0,0.25,light anchor uses common seeds only (33 excluded from FedAvg side: diverged; FedNova-33 excluded from this paired comparison)
ALL_ANCHORS_POOLED,14,-0.11111111111111113,-4.769696007084729,0.00036622955094412125,0.0,0.0038678686666596975,CAUTION: these 14 rows are NOT independent -- the same 5 model_seeds repeat across up to 3 anchors each. Do not report this p-value as evidence of statistical significance. See ALL_ANCHORS_SEED_AGGREGATED below for the analysis that respects seed as the true independent unit.
ALL_ANCHORS_SEED_AGGREGATED,4,-0.10185185185185185,-5.7445626465380295,0.01047708875527632,0.0,0.125,"Unified full-case unit: one row per model_seed present in all 3 anchors (n=4: seeds [11, 22, 44, 55]). Seed(s) [33] excluded from this row -- present in only 2/3 anchors because the matching FedAvg run diverged (light anchor), so not the same averaged quantity; shown separately in the per-seed table above. 4/4 full-case seeds show fedavg<fednova; descriptive only -- at n=4 the exact two-sided Wilcoxon floor is 2/2^n -- do not call this 'statistically significant'."
