algorithm,alpha,n_clients,partition_seed,model_seed,round,val_macro_f1,val_loss,diverged,diverged_at
fedavg_sgd,0.1,30,102,11,1,0.200407734644438,0.15235053023262832,False,
fedavg_sgd,0.1,30,102,11,2,0.22964633225488212,0.1326807128335613,False,
fedavg_sgd,0.1,30,102,11,3,0.22252063416311157,0.1378931406626752,False,
fedavg_sgd,0.1,30,102,11,4,0.323399252152527,0.11810297238656138,False,
fedavg_sgd,0.1,30,102,11,5,0.3112933327343239,0.1216174892640998,False,
fedavg_sgd,0.1,30,102,11,6,0.36338481550024915,0.1146871724922403,False,
fedavg_sgd,0.1,30,102,11,7,0.35794271659494925,0.11010921323621882,False,
fedavg_sgd,0.1,30,102,11,8,0.37167051732989415,0.10703278645132885,False,
fedavg_sgd,0.1,30,102,11,9,0.37268178761394277,0.10815723861342962,False,
fedavg_sgd,0.1,30,102,11,10,0.372440391586899,0.10410066874575498,False,
fedavg_sgd,0.1,30,102,11,11,0.3769528023615252,0.10210247817801316,False,
fedavg_sgd,0.1,30,102,11,12,0.3769648469065473,0.09924144000952731,False,
fedavg_sgd,0.1,30,102,11,13,0.3777846933834175,0.09790516985708664,False,
fedavg_sgd,0.1,30,102,11,14,0.37908906616238436,0.09830257412453774,False,
fedavg_sgd,0.1,30,102,11,15,0.3803002498664101,0.09786893041297576,False,
fedavg_sgd,0.1,30,102,11,16,0.38060126486189944,0.09610844140718762,False,
fedavg_sgd,0.1,30,102,11,17,0.3821558319136636,0.09714852508676912,False,
fedavg_sgd,0.1,30,102,11,18,0.38121049749095565,0.09754089084721257,False,
fedavg_sgd,0.1,30,102,11,19,0.3815512233797877,0.09580129952582642,False,
fedavg_sgd,0.1,30,102,11,20,0.3823496942847464,0.09668707217421796,False,
fedavg_sgd,0.1,30,102,11,21,0.3847194895529707,0.0991700188337457,False,
fedavg_sgd,0.1,30,102,11,22,0.38378424512471343,0.09777366940252478,False,
fedavg_sgd,0.1,30,102,11,23,0.3865520595347475,0.10037149407369142,False,
fedavg_sgd,0.1,30,102,11,24,0.3880402479275373,0.09954315673941577,False,
fedavg_sgd,0.1,30,102,11,25,0.3870441967739255,0.10362569160726749,False,
fedavg_sgd,0.1,30,102,11,26,0.39140593078646,0.09768304605743915,False,
fedavg_sgd,0.1,30,102,11,27,0.3923220488733907,0.1011558381434995,False,
fedavg_sgd,0.1,30,102,11,28,0.39038782996373256,0.10294648612550415,False,
fedavg_sgd,0.1,30,102,11,29,0.39010021063585887,0.10474229384955774,False,
fedavg_sgd,0.1,30,102,11,30,0.3966924019460183,0.10413453039579611,False,
fedavg_sgd,0.1,30,102,11,31,0.40316097318913946,0.10466431655119356,False,
fedavg_sgd,0.1,30,102,11,32,0.4118109939850747,0.10484562280129943,False,
fedavg_sgd,0.1,30,102,11,33,0.40875693691805787,0.10728114738521162,False,
fedavg_sgd,0.1,30,102,11,34,0.4350739243491677,0.10398406823026936,False,
fedavg_sgd,0.1,30,102,11,35,0.4079642807182827,0.10520511010120619,False,
fedavg_sgd,0.1,30,102,11,36,0.4326314503874234,0.10205521660871257,False,
fedavg_sgd,0.1,30,102,11,37,0.41609449603950643,0.10374437635179797,False,
fedavg_sgd,0.1,30,102,11,38,0.4404767793045932,0.09917349271732032,False,
fedavg_sgd,0.1,30,102,11,39,0.44031309145484154,0.10127833900447519,False,
fedavg_sgd,0.1,30,102,11,40,0.44546973175934457,0.10378080066461653,False,
