intervention,seed,round,target_class,holder_client_id,local_recall_holder_own_rows,local_recall_holder_validation,logit_margin_holder_post_local,global_recall_post_intervention_validation,conditional_retention,logit_margin_post_intervention,delta_margin,logit_margin_retention_ratio_secondary,holder_update_norm,cosine_holder_vs_realized_aggregate,holder_weighted_sum_norm_baseline,nonholder_weighted_sum_norm_baseline,nonholder_over_holder_contribution_ratio_baseline,intervention_c_macro_f1_all_classes,intervention_c_flagged_invalid
0,11,1,Manipulation,2,0.956480605487228,0.9064748201438849,0.30252698063850403,0.0,0,-2.51257586479187,-2.815102845430374,-8.305295149176136,0.09638915210962296,-0.49707973425672186,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
0,11,1,Manipulation,13,1.0,1.0,3.05118727684021,0.0,0,-2.51257586479187,-5.56376314163208,-0.8234748105641938,0.1373928040266037,-0.6498125149807129,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
A,11,1,Manipulation,2,0.956480605487228,0.9064748201438849,0.30252698063850403,0.0,0,-0.8933918476104736,-1.1959188282489777,-2.953098086408388,0.09638915210962296,0.9261697680761023,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
A,11,1,Manipulation,13,1.0,1.0,3.05118727684021,0.0,0,-0.8933918476104736,-3.9445791244506836,-0.29280138075813705,0.1373928040266037,0.9824133011930967,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
B,11,1,Manipulation,2,0.956480605487228,0.9064748201438849,0.30252698063850403,0.0,0,-0.2851164937019348,-0.5876434743404388,-0.9424498043122528,0.09638915210962296,0.9261697680761023,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
B,11,1,Manipulation,13,1.0,1.0,3.05118727684021,0.0,0,-0.2851164937019348,-3.3363037705421448,-0.09344444238676809,0.1373928040266037,0.9824133011930967,0.0077748228795826435,0.2661205232143402,34.228499778843286,,
C,11,1,Manipulation,2,0.956480605487228,0.9064748201438849,0.30252698063850403,1.0,1,0.38142138719558716,0.07889440655708313,1.2607846956015991,0.09638915210962296,-0.49707973425672186,0.0077748228795826435,0.2661205232143402,34.228499778843286,0.0256773254497143,True
C,11,1,Manipulation,13,1.0,1.0,3.05118727684021,1.0,1,0.38142138719558716,-2.669765889644623,0.12500753070476378,0.1373928040266037,-0.6498125149807129,0.0077748228795826435,0.2661205232143402,34.228499778843286,0.0256773254497143,True
0,11,1,Replay,1,1.0,1.0,1.7694051265716553,0.0,0,-2.4354288578033447,-4.204833984375,-1.3764111006743585,0.11305484920740128,-0.6957574385322014,0.019466746598482132,0.2529427409172058,12.993580598461602,,
0,11,1,Replay,4,0.9921171171171171,0.9944700460829493,1.8940024375915527,0.0,0,-2.4354288578033447,-4.3294312953948975,-1.2858636343152121,0.18966259062290192,-0.3646995913378622,0.019466746598482132,0.2529427409172058,12.993580598461602,,
0,11,1,Replay,10,0.0,0.0,-0.694056510925293,0.0,0,-2.4354288578033447,-1.7413723468780518,nan,0.12982532382011414,-0.7327516054354263,0.019466746598482132,0.2529427409172058,12.993580598461602,,
A,11,1,Replay,1,1.0,1.0,1.7694051265716553,0.0,0,-0.7255842685699463,-2.4949893951416016,-0.41007243489557194,0.11305484920740128,0.9288081770912124,0.019466746598482132,0.2529427409172058,12.993580598461602,,
A,11,1,Replay,4,0.9921171171171171,0.9944700460829493,1.8940024375915527,0.0,0,-0.7255842685699463,-2.619586706161499,-0.3830957416784596,0.18966259062290192,0.9719497027183212,0.019466746598482132,0.2529427409172058,12.993580598461602,,
A,11,1,Replay,10,0.0,0.0,-0.694056510925293,0.0,0,-0.7255842685699463,-0.03152775764465332,nan,0.12982532382011414,0.8951969696562462,0.019466746598482132,0.2529427409172058,12.993580598461602,,
B,11,1,Replay,1,1.0,1.0,1.7694051265716553,0.0,0,-0.2756953537464142,-2.0451004803180695,-0.15581245335294863,0.11305484920740128,0.9288081770912124,0.019466746598482132,0.2529427409172058,12.993580598461602,,
B,11,1,Replay,4,0.9921171171171171,0.9944700460829493,1.8940024375915527,0.0,0,-0.2756953537464142,-2.169697791337967,-0.14556230143874224,0.18966259062290192,0.9719497027183212,0.019466746598482132,0.2529427409172058,12.993580598461602,,
B,11,1,Replay,10,0.0,0.0,-0.694056510925293,0.0,0,-0.2756953537464142,0.4183611571788788,nan,0.12982532382011414,0.8951969696562462,0.019466746598482132,0.2529427409172058,12.993580598461602,,
C,11,1,Replay,1,1.0,1.0,1.7694051265716553,0.9870967741935484,1,0.4412173926830292,-1.328187733888626,0.24935916939379416,0.11305484920740128,-0.6957574385322014,0.019466746598482132,0.2529427409172058,12.993580598461602,0.14846536711340602,False
C,11,1,Replay,4,0.9921171171171171,0.9944700460829493,1.8940024375915527,0.9870967741935484,1,0.4412173926830292,-1.4527850449085236,0.2329550289513297,0.18966259062290192,-0.3646995913378622,0.019466746598482132,0.2529427409172058,12.993580598461602,0.14846536711340602,False
C,11,1,Replay,10,0.0,0.0,-0.694056510925293,0.9870967741935484,0,0.4412173926830292,1.1352739036083221,nan,0.12982532382011414,-0.7327516054354263,0.019466746598482132,0.2529427409172058,12.993580598461602,0.14846536711340602,False
0,11,5,Manipulation,2,0.0,0.0,-1.1262538433074951,0.0,0,-6.089604377746582,-4.963350534439087,nan,0.10626208782196045,-0.8416447861716636,0.008190304040908813,0.201289102435112,24.576511620291026,,
0,11,5,Manipulation,13,1.0,1.0,1.5520844459533691,0.0,0,-6.089604377746582,-7.641688823699951,-3.9235006791180345,0.1348945051431656,-0.8947156540612086,0.008190304040908813,0.201289102435112,24.576511620291026,,
A,11,5,Manipulation,2,0.0,0.0,-1.1262538433074951,0.0,0,-3.604151487350464,-2.4778976440429688,nan,0.10626208782196045,0.9885993415827532,0.008190304040908813,0.201289102435112,24.576511620291026,,
A,11,5,Manipulation,13,1.0,1.0,1.5520844459533691,0.0,0,-3.604151487350464,-5.156235933303833,-2.322136206407642,0.1348945051431656,0.9964901032458029,0.008190304040908813,0.201289102435112,24.576511620291026,,
B,11,5,Manipulation,2,0.0,0.0,-1.1262538433074951,0.0,0,-3.2085628509521484,-2.0823090076446533,nan,0.10626208782196045,0.9885993415827532,0.008190304040908813,0.201289102435112,24.576511620291026,,
B,11,5,Manipulation,13,1.0,1.0,1.5520844459533691,0.0,0,-3.2085628509521484,-4.760647296905518,-2.0672604891554633,0.1348945051431656,0.9964901032458029,0.008190304040908813,0.201289102435112,24.576511620291026,,
C,11,5,Manipulation,2,0.0,0.0,-1.1262538433074951,0.0,0,-0.8644060492515564,0.2618477940559387,nan,0.10626208782196045,-0.8416447861716636,0.008190304040908813,0.201289102435112,24.576511620291026,0.3323284804112518,False
C,11,5,Manipulation,13,1.0,1.0,1.5520844459533691,0.0,0,-0.8644060492515564,-2.4164904952049255,-0.556932357324536,0.1348945051431656,-0.8947156540612086,0.008190304040908813,0.201289102435112,24.576511620291026,0.3323284804112518,False
0,11,5,Replay,1,1.0,1.0,2.601640462875366,0.0,0,-4.355103015899658,-6.956743478775024,-1.6739834262442024,0.11855065077543259,-0.8675161182397626,0.019187502562999725,0.1839221715927124,9.585519063193729,,
