seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,1,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.8198810535259133,0.912961210974456,0.8639212175470009,0.0,0.0,0.0,-0.17258001863956451,0.2289726436138153,-3.129608392715454,0.4015526622533798,-3.3585810363292694,-2.9570283740758896,0.09813420474529266,-0.5267720818519592,0.002719852142035961,0.07890112713243291,0.007942376658320427,0.31084439158439636,-0.6664948463439941
11,1,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.03154044268597663,0.868448098663926,0.060870191615041064,0.0,0.0,0.0,-0.17301282286643982,0.20459787547588348,-3.0569825172424316,0.3776106983423233,-3.261580392718315,-2.883969694375992,0.09813420474529266,-0.5267720818519592,0.002719852142035961,0.07890112713243291,0.007942376658320427,0.31084439158439636,-0.6664948463439941
11,1,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.7625935162094764,1.0,0.8653084323712507,0.0,0.0,0.0,-0.1715988665819168,3.537882089614868,-3.1190192699432373,3.709480956196785,-6.6569013595581055,-2.9474204033613205,0.14036677777767181,-0.679413378238678,0.005512250121682882,0.07890112713243291,0.007942376658320427,0.31084439158439636,-0.6664948463439941
11,1,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.018584307433722972,1.0,0.036490464850269085,0.0,0.0,0.0,-0.17301282286643982,3.4192097187042236,-3.0569825172424316,3.5922225415706635,-6.476192235946655,-2.883969694375992,0.14036677777767181,-0.679413378238678,0.005512250121682882,0.07890112713243291,0.007942376658320427,0.31084439158439636,-0.6664948463439941
11,1,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.9055276381909547,1.0,0.95042194092827,0.0,0.0,0.0,-0.19906090199947357,1.8076785802841187,-2.9023616313934326,2.0067394822835922,-4.710040211677551,-2.703300729393959,0.11639874428510666,-0.7259752154350281,0.003930319100618362,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
11,1,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.02741352737562849,1.0,0.05336415502655912,0.0,0.0,0.0,-0.20505547523498535,1.914363980293274,-2.993265390396118,2.1194194555282593,-4.907629370689392,-2.788209915161133,0.11639874428510666,-0.7259752154350281,0.003930319100618362,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
11,1,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.0206924088688463,0.9921171171171171,0.04053929688937972,0.0,0.0,0.0,-0.20324985682964325,2.1249682903289795,-2.956404209136963,2.3282181471586227,-5.081372499465942,-2.7531543523073196,0.21530859172344208,-0.4216020107269287,0.013778566382825375,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
11,1,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.03030217928555381,0.9944700460829493,0.05881230752459597,0.0,0.0,0.0,-0.20505547523498535,2.2496707439422607,-2.993265390396118,2.454726219177246,-5.242936134338379,-2.788209915161133,0.21530859172344208,-0.4216020107269287,0.013778566382825375,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
11,1,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2007669061422348,-1.8009324073791504,-2.9232256412506104,-1.6001655012369156,-1.12229323387146,-2.7224587351083755,0.12997432053089142,-0.7347922921180725,0.004612315446138382,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
11,1,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20505547523498535,-1.8313277959823608,-2.993265390396118,-1.6262723207473755,-1.1619375944137573,-2.788209915161133,0.12997432053089142,-0.7347922921180725,0.004612315446138382,0.1420962961086195,0.021278224885463715,0.29286104440689087,-0.6147094368934631
