seed,round,class,holder_client_id,eval_data,n_eval_rows,n_positive_rows,precision_pre_local_train,recall_pre_local_train,f1_pre_local_train,precision_post_local_pre_agg,recall_post_local_pre_agg,f1_post_local_pre_agg,precision_post_aggregation,recall_post_aggregation,f1_post_aggregation,logit_margin_pre_local_train,logit_margin_post_local_pre_agg,logit_margin_post_aggregation,local_margin_gain,aggregation_margin_change,net_margin_change,update_norm_this_client,cosine_holder_update_vs_aggregate_update,fedavg_weighted_contribution_norm,cancellation_ratio,holder_weighted_sum_norm,nonholder_weighted_sum_norm,cosine_holder_sum_vs_nonholder_sum
11,1,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.7676537585421412,0.956480605487228,0.8517270429654591,0.0,0.0,0.0,-0.17258001863956451,0.33144012093544006,-2.5838794708251953,0.5040201395750046,-2.9153195917606354,-2.411299452185631,0.09638915210962296,-0.4970797598361969,0.00267148669809103,0.08322063802476076,0.0077748228795826435,0.2661205232143402,-0.6395066380500793
11,1,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.03167534566349434,0.9064748201438849,0.061211742660836975,0.0,0.0,0.0,-0.17301282286643982,0.30252698063850403,-2.51257586479187,0.47553980350494385,-2.815102845430374,-2.3395630419254303,0.09638915210962296,-0.4970797598361969,0.00267148669809103,0.08322063802476076,0.0077748228795826435,0.2661205232143402,-0.6395066380500793
11,1,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.7783150928989565,1.0,0.8753399169886933,0.0,0.0,0.0,-0.1715988665819168,3.157705545425415,-2.5765061378479004,3.329304412007332,-5.734211683273315,-2.4049072712659836,0.1373928040266037,-0.6498124599456787,0.005395460408180952,0.08322063802476076,0.0077748228795826435,0.2661205232143402,-0.6395066380500793
11,1,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.02013867328986857,1.0,0.03948222691121571,0.0,0.0,0.0,-0.17301282286643982,3.05118727684021,-2.51257586479187,3.22420009970665,-5.56376314163208,-2.3395630419254303,0.1373928040266037,-0.6498124599456787,0.005395460408180952,0.08322063802476076,0.0077748228795826435,0.2661205232143402,-0.6395066380500793
11,1,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.8859390363815143,1.0,0.9395203336809176,0.0,0.0,0.0,-0.19906090199947357,1.6707894802093506,-2.3509786128997803,1.8698503822088242,-4.021768093109131,-2.1519177109003067,0.11305484920740128,-0.6957574486732483,0.003817408811300993,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,1,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.026038541841656868,1.0,0.05075548486691304,0.0,0.0,0.0,-0.20505547523498535,1.7694051265716553,-2.435429096221924,1.9744606018066406,-4.204834222793579,-2.2303736209869385,0.11305484920740128,-0.6957574486732483,0.003817408811300993,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,1,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.022784875601303472,0.9921171171171171,0.04454669565657077,0.0,0.0,0.0,-0.20324985682964325,1.7752814292907715,-2.401005744934082,1.9785312861204147,-4.1762871742248535,-2.197755888104439,0.18966259062290192,-0.3646996319293976,0.012137363664805889,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,1,Replay,4,validation,245526,1085,0.0,0.0,0.0,0.03666077738515901,0.9944700460829493,0.07071468361896648,0.0,0.0,0.0,-0.20505547523498535,1.8940024375915527,-2.435429096221924,2.099057912826538,-4.329431533813477,-2.2303736209869385,0.18966259062290192,-0.3646996319293976,0.012137363664805889,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,1,Replay,10,own_client_rows,76300,1914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.2007669061422348,-0.6917561888694763,-2.370657205581665,-0.4909892827272415,-1.6789010167121887,-2.1698902994394302,0.12982532382011414,-0.7327516078948975,0.004607027862221003,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,1,Replay,10,validation,245526,1085,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.20505547523498535,-0.694056510925293,-2.435429096221924,-0.4890010356903076,-1.7413725852966309,-2.2303736209869385,0.12982532382011414,-0.7327516078948975,0.004607027862221003,0.14669673529276894,0.019466746598482132,0.2529427409172058,-0.5908538103103638
11,5,Manipulation,2,own_client_rows,59592,1057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.806150913238525,-1.1008471250534058,-6.316047668457031,4.70530378818512,-5.2152005434036255,-0.5098967552185059,0.10626208782196045,-0.8416445851325989,0.002945121144875884,0.09968349595622972,0.008190304040908813,0.201289102435112,-0.8902522325515747
11,5,Manipulation,2,validation,245526,973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.560438632965088,-1.1262538433074951,-6.089603900909424,4.434184789657593,-4.963350057601929,-0.5291652679443359,0.10626208782196045,-0.8416445851325989,0.002945121144875884,0.09968349595622972,0.008190304040908813,0.201289102435112,-0.8902522325515747
11,5,Manipulation,13,own_client_rows,84436,3058,0.0,0.0,0.0,0.9886841254445522,1.0,0.9943098683140953,0.0,0.0,0.0,-5.744263172149658,1.5895971059799194,-6.257904529571533,7.333860278129578,-7.847501635551453,-0.513641357421875,0.1348945051431656,-0.8947156071662903,0.005297352094203234,0.09968349595622972,0.008190304040908813,0.201289102435112,-0.8902522325515747
11,5,Manipulation,13,validation,245526,973,0.0,0.0,0.0,0.1629815745393635,1.0,0.28028229871813337,0.0,0.0,0.0,-5.560438632965088,1.5520844459533691,-6.089603900909424,7.112523078918457,-7.641688346862793,-0.5291652679443359,0.1348945051431656,-0.8947156071662903,0.005297352094203234,0.09968349595622972,0.008190304040908813,0.201289102435112,-0.8902522325515747
11,5,Replay,1,own_client_rows,72601,901,0.0,0.0,0.0,0.9688172043010753,1.0,0.9841616602949208,0.0,0.0,0.0,-4.1025824546813965,2.57476544380188,-4.114340305328369,6.677347898483276,-6.689105749130249,-0.011757850646972656,0.11855065077543259,-0.8675161600112915,0.0040029799565672874,0.1885727950985171,0.019187502562999725,0.1839221715927124,-0.7831284999847412
11,5,Replay,1,validation,245526,1085,0.0,0.0,0.0,0.18177249120455688,1.0,0.307626878366884,0.0,0.0,0.0,-4.343120098114014,2.601640462875366,-4.355103015899658,6.94476056098938,-6.956743478775024,-0.011982917785644531,0.11855065077543259,-0.8675161600112915,0.0040029799565672874,0.1885727950985171,0.019187502562999725,0.1839221715927124,-0.7831284999847412
11,5,Replay,4,own_client_rows,137596,888,0.0,0.0,0.0,0.0539861511122005,0.9921171171171171,0.10240018597082583,0.0,0.0,0.0,-4.249055862426758,1.3470338582992554,-4.244637489318848,5.596089720726013,-5.591671347618103,0.004418373107910156,0.1737516224384308,-0.6307551860809326,0.011119148693978786,0.1885727950985171,0.019187502562999725,0.1839221715927124,-0.7831284999847412
