seed,round,class,client_a,client_b,role_a,role_b,cosine_similarity
11,1,Manipulation,0,1,non_holder,non_holder,0.9023237824440002
11,1,Manipulation,0,2,non_holder,holder,-0.5228551626205444
11,1,Manipulation,0,3,non_holder,non_holder,0.9253164529800415
11,1,Manipulation,0,4,non_holder,non_holder,0.9155275821685791
11,1,Manipulation,0,5,non_holder,non_holder,0.9058558940887451
11,1,Manipulation,0,6,non_holder,non_holder,0.8548309803009033
11,1,Manipulation,0,7,non_holder,non_holder,0.910364031791687
11,1,Manipulation,0,8,non_holder,non_holder,0.9158060550689697
11,1,Manipulation,0,9,non_holder,non_holder,0.9218881130218506
11,1,Manipulation,0,10,non_holder,non_holder,0.9014593958854675
11,1,Manipulation,0,11,non_holder,non_holder,0.8972545266151428
11,1,Manipulation,0,12,non_holder,non_holder,0.9144827127456665
11,1,Manipulation,0,13,non_holder,holder,-0.6790499091148376
11,1,Manipulation,0,14,non_holder,non_holder,0.9091382622718811
11,1,Manipulation,1,2,non_holder,holder,-0.5829933881759644
11,1,Manipulation,1,3,non_holder,non_holder,0.9536125659942627
11,1,Manipulation,1,4,non_holder,non_holder,0.9717791676521301
11,1,Manipulation,1,5,non_holder,non_holder,0.9532403945922852
11,1,Manipulation,1,6,non_holder,non_holder,0.9034426212310791
11,1,Manipulation,1,7,non_holder,non_holder,0.9712774753570557
11,1,Manipulation,1,8,non_holder,non_holder,0.9338987469673157
11,1,Manipulation,1,9,non_holder,non_holder,0.9852953553199768
11,1,Manipulation,1,10,non_holder,non_holder,0.9791221022605896
11,1,Manipulation,1,11,non_holder,non_holder,0.9706013202667236
11,1,Manipulation,1,12,non_holder,non_holder,0.9765991568565369
11,1,Manipulation,1,13,non_holder,holder,-0.7291683554649353
11,1,Manipulation,1,14,non_holder,non_holder,0.970440149307251
11,1,Manipulation,2,3,holder,non_holder,-0.5099838376045227
11,1,Manipulation,2,4,holder,non_holder,-0.5757229328155518
11,1,Manipulation,2,5,holder,non_holder,-0.6288791298866272
11,1,Manipulation,2,6,holder,non_holder,-0.4166931211948395
11,1,Manipulation,2,7,holder,non_holder,-0.6223737597465515
11,1,Manipulation,2,8,holder,non_holder,-0.5404134392738342
11,1,Manipulation,2,9,holder,non_holder,-0.6055418848991394
11,1,Manipulation,2,10,holder,non_holder,-0.5703434944152832
11,1,Manipulation,2,11,holder,non_holder,-0.5788207054138184
11,1,Manipulation,2,12,holder,non_holder,-0.6107672452926636
11,1,Manipulation,2,13,holder,holder,0.8394684195518494
11,1,Manipulation,2,14,holder,non_holder,-0.5668253302574158
11,1,Manipulation,3,4,non_holder,non_holder,0.9528488516807556
11,1,Manipulation,3,5,non_holder,non_holder,0.928492546081543
11,1,Manipulation,3,6,non_holder,non_holder,0.9284796714782715
11,1,Manipulation,3,7,non_holder,non_holder,0.942379891872406
11,1,Manipulation,3,8,non_holder,non_holder,0.939580500125885
11,1,Manipulation,3,9,non_holder,non_holder,0.9658622145652771
11,1,Manipulation,3,10,non_holder,non_holder,0.9582656025886536
11,1,Manipulation,3,11,non_holder,non_holder,0.942920446395874
11,1,Manipulation,3,12,non_holder,non_holder,0.9550302028656006
11,1,Manipulation,3,13,non_holder,holder,-0.6684396862983704
11,1,Manipulation,3,14,non_holder,non_holder,0.944584310054779
11,1,Manipulation,4,5,non_holder,non_holder,0.9503259658813477
11,1,Manipulation,4,6,non_holder,non_holder,0.9120959639549255
11,1,Manipulation,4,7,non_holder,non_holder,0.9609441161155701
11,1,Manipulation,4,8,non_holder,non_holder,0.9070606231689453
11,1,Manipulation,4,9,non_holder,non_holder,0.9627504348754883
11,1,Manipulation,4,10,non_holder,non_holder,0.9739775657653809
11,1,Manipulation,4,11,non_holder,non_holder,0.9384344220161438
11,1,Manipulation,4,12,non_holder,non_holder,0.9615224599838257
11,1,Manipulation,4,13,non_holder,holder,-0.6977712512016296
11,1,Manipulation,4,14,non_holder,non_holder,0.951975405216217
11,1,Manipulation,5,6,non_holder,non_holder,0.8894897103309631
11,1,Manipulation,5,7,non_holder,non_holder,0.9764752984046936
11,1,Manipulation,5,8,non_holder,non_holder,0.9185166954994202
11,1,Manipulation,5,9,non_holder,non_holder,0.9651135206222534
11,1,Manipulation,5,10,non_holder,non_holder,0.9432778358459473
11,1,Manipulation,5,11,non_holder,non_holder,0.9470715522766113
11,1,Manipulation,5,12,non_holder,non_holder,0.9695097208023071
11,1,Manipulation,5,13,non_holder,holder,-0.7379815578460693
11,1,Manipulation,5,14,non_holder,non_holder,0.9580028057098389
11,1,Manipulation,6,7,non_holder,non_holder,0.8981696963310242
11,1,Manipulation,6,8,non_holder,non_holder,0.8891769051551819
11,1,Manipulation,6,9,non_holder,non_holder,0.9119703769683838
11,1,Manipulation,6,10,non_holder,non_holder,0.9071715474128723
